second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
42	44910420.00	28794016.00	4678.00	16111334.00	0.00	392.00	44919044.00	16111741.00	0.00	16111487.00	12681569.00	0.00	89.00	0.00	36609772.00	14774315.00	0.00	14774103.00	7061267.00	89.00	0.00	0.00	8295114.00	1337427.00	0.00	1337384.00	5620303.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1382.00	28794008.00	
43	44781340.00	28681554.00	4201.00	16095172.00	0.00	400.00	44787060.00	16095038.00	0.00	16095017.00	12584862.00	0.00	92.00	0.00	36483724.00	14722279.00	0.00	14722329.00	7039024.00	92.00	0.00	0.00	8291285.00	1372759.00	0.00	1372688.00	5545838.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1403.00	28681552.00	
44	44756296.00	28631212.00	4633.00	16120006.00	0.00	449.00	44761740.00	16120000.00	0.00	16119913.00	12509535.00	0.00	73.00	0.00	36444028.00	14709779.00	0.00	14709780.00	7024392.00	73.00	0.00	0.00	8305496.00	1410220.00	0.00	1410133.00	5485143.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1351.00	28631216.00	
45	44717508.00	28453248.00	5958.00	16257614.00	0.00	692.00	44720560.00	16257261.00	0.00	16257015.00	12193904.00	0.00	57.00	0.00	36255216.00	14653338.00	0.00	14653164.00	6948655.00	57.00	0.00	0.00	8453023.00	1603923.00	0.00	1603851.00	5245249.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1590.00	28453244.00	
46	44732588.00	28461412.00	5045.00	16265549.00	0.00	576.00	44737108.00	16265278.00	0.00	16265293.00	12194371.00	0.00	78.00	0.00	36264120.00	14653707.00	0.00	14653762.00	6956570.00	78.00	0.00	0.00	8460903.00	1611571.00	0.00	1611531.00	5237801.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1501.00	28461416.00	
47	44787872.00	28567956.00	5154.00	16214200.00	0.00	566.00	44795876.00	16214298.00	0.00	16214184.00	12352495.00	0.00	136.00	0.00	36373376.00	14671281.00	0.00	14671198.00	7030761.00	136.00	0.00	0.00	8407737.00	1543017.00	0.00	1542986.00	5321734.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1394.00	28567956.00	
48	44802028.00	28627600.00	4544.00	16169358.00	0.00	522.00	44808152.00	16169545.00	0.00	16169290.00	12456792.00	0.00	62.00	0.00	36449896.00	14695025.00	0.00	14694843.00	7059971.00	62.00	0.00	0.00	8345788.00	1474520.00	0.00	1474447.00	5396821.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1419.00	28627594.00	
49	44788680.00	28567250.00	4965.00	16215882.00	0.00	588.00	44794684.00	16216286.00	0.00	16216235.00	12350000.00	0.00	70.00	0.00	36379856.00	14674964.00	0.00	14674945.00	7029878.00	70.00	0.00	0.00	8402734.00	1541322.00	0.00	1541290.00	5320122.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1400.00	28567256.00	
50	44810204.00	28554840.00	5584.00	16248989.00	0.00	789.00	44814052.00	16248705.00	0.00	16248432.00	12304622.00	0.00	100.00	0.00	36351492.00	14662360.00	0.00	14662199.00	7026831.00	100.00	0.00	0.00	8450370.00	1586345.00	0.00	1586233.00	5277792.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1333.00	28554838.00	
51	31056212.00	17977202.00	485404.00	12374095.00	0.00	219511.00	30138936.00	12374134.00	0.00	12320455.00	5434693.00	0.00	465.00	0.00	21380716.00	9038556.00	0.00	9039821.00	3301899.00	437.00	0.00	0.00	8749033.00	3335578.00	0.00	3280634.00	2132793.00	0.00	0.00	0.00	28.00	0.00	0.00	0.00	0.00	179215.00	17977202.00	
52	40528692.00	23635172.00	321286.00	16365940.00	0.00	206294.00	39897056.00	16365989.00	0.00	16321554.00	7200585.00	0.00	96.00	0.00	30089494.00	12538709.00	0.00	12538363.00	5012323.00	96.00	0.00	0.00	9798733.00	3827280.00	0.00	3783191.00	2188262.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	68887.00	23635172.00	
53	41578220.00	24431688.00	263435.00	16721110.00	0.00	161988.00	41087984.00	16722042.00	0.00	16693494.00	7664286.00	0.00	88.00	0.00	31323604.00	13001041.00	0.00	13000553.00	5321918.00	88.00	0.00	0.00	9756309.00	3721001.00	0.00	3692940.00	2342368.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47038.00	24431684.00	
54	42199748.00	24920300.00	235702.00	16900852.00	0.00	142889.00	41761904.00	16898968.00	0.00	16875576.00	7979159.00	0.00	103.00	0.00	32027372.00	13248101.00	0.00	13248486.00	5530686.00	103.00	0.00	0.00	9726432.00	3650867.00	0.00	3627092.00	2448473.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39117.00	24920300.00	
55	42232488.00	24995894.00	212713.00	16899288.00	0.00	124589.00	41855504.00	16899836.00	0.00	16881732.00	8065801.00	0.00	114.00	0.00	32153728.00	13290837.00	0.00	13290456.00	5572320.00	114.00	0.00	0.00	9693755.00	3608998.00	0.00	3591276.00	2493481.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31182.00	24995894.00	
56	42537424.00	25254158.00	198632.00	16968360.00	0.00	116274.00	42188856.00	16969070.00	0.00	16953158.00	8258368.00	0.00	90.00	0.00	32473068.00	13399896.00	0.00	13399931.00	5673153.00	90.00	0.00	0.00	9707618.00	3569175.00	0.00	3553227.00	2585216.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27757.00	25254158.00	
57	42632992.00	25356114.00	187550.00	16979916.00	0.00	109422.00	42308464.00	16980064.00	0.00	16966156.00	8352186.00	0.00	129.00	0.00	32601092.00	13441022.00	0.00	13440883.00	5719056.00	129.00	0.00	0.00	9697445.00	3539042.00	0.00	3525274.00	2633129.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24182.00	25356116.00	
