hit_rate_ini:	0.0474645	miss_ratio_ini:	1
6181	4294967295	0.37253	0.891113	0.778116
5811	4294967295	0.37253	0.891113	0.775758
6419	4294967295	0.37253	0.891113	0.773414
4425	4294967295	0.37253	0.891113	0.771084
8739	4294967295	0.37253	0.891113	0.768769
6250	4294967295	0.37253	0.891113	0.766467
4404	4294967295	0.37253	0.891113	0.764179
7255	4294967295	0.37253	0.891113	0.761905
6475	4294967295	0.37253	0.891113	0.759644
5228	4294967295	0.37253	0.891113	0.757396
5297	4294967295	0.37253	0.891113	0.755162
9058	4294967295	0.37253	0.891113	0.752941
6333	4294967295	0.37253	0.891113	0.750733
4444	4294967295	0.37253	0.891113	0.748538
6003	4294967295	0.37253	0.891113	0.746356
7829	4294967295	0.37253	0.891113	0.744186
4723	4294967295	0.37253	0.891113	0.742029
4219	4294967295	0.37253	0.891113	0.739884
4926	4294967295	0.37253	0.891113	0.737752
7562	4294967295	0.37253	0.891113	0.735632
7602	4294967295	0.37253	0.891113	0.733524
5026	4294967295	0.37253	0.891113	0.731429
7275	4294967295	0.37253	0.891113	0.729345
7876	4294967295	0.37253	0.891113	0.727273
8273	4294967295	0.37253	0.891113	0.725212
10963	4294967295	0.37253	0.891113	0.723164
5345	4294967295	0.37253	0.891113	0.721127
4971	4294967295	0.37253	0.891113	0.719101
4266	4294967295	0.37253	0.891113	0.717087
4317	4294967295	0.37253	0.891113	0.715084
4482	4294967295	0.37253	0.891113	0.713092
15026	4294967295	0.37253	0.891113	0.711111
6787	4294967295	0.37253	0.891113	0.709141
7496	4294967295	0.37253	0.891113	0.707182
7148	4294967295	0.37253	0.891113	0.705234
6004	4294967295	0.37253	0.891113	0.703297
10610	4294967295	0.37253	0.891113	0.70137
8555	4294967295	0.37253	0.891113	0.699454
5767	4294967295	0.37253	0.891113	0.697548
5792	4294967295	0.37253	0.891113	0.695652
5508	4294967295	0.37253	0.891113	0.693767
15340	4294967295	0.37253	0.891113	0.691892
8797	4294967295	0.37253	0.891113	0.690027
9098	4294967295	0.37253	0.891113	0.688172
6136	4294967295	0.37253	0.891113	0.686327
7978	4294967295	0.37253	0.891113	0.684492
5553	4294967295	0.37253	0.891113	0.682667
6251	4294967295	0.37253	0.891113	0.680851
7162	4294967295	0.37253	0.891113	0.679045
7183	4294967295	0.37253	0.891113	0.677249
5701	4294967295	0.37253	0.891113	0.675462
6799	4294967295	0.37253	0.891113	0.673684
10620	4294967295	0.37253	0.891113	0.671916
9729	4294967295	0.37253	0.891113	0.670157
5317	4294967295	0.37253	0.891113	0.668407
8539	4294967295	0.37253	0.891113	0.666667
21292	4294967295	0.37253	0.891113	0.664935
12986	4294967295	0.37253	0.891113	0.663212
9812	4294967295	0.37253	0.891113	0.661499
5881	4294967295	0.37253	0.891113	0.659794
15772	4294967295	0.37253	0.891113	0.658098
8867	4294967295	0.37253	0.891113	0.65641
5070	4294967295	0.37253	0.891113	0.654731
7839	4294967295	0.37253	0.891113	0.653061
13208	4294967295	0.37253	0.891113	0.651399
6110	4294967295	0.37253	0.891113	0.649746
6898	4294967295	0.37253	0.891113	0.648101
8392	4294967295	0.37253	0.891113	0.646465
6662	4294967295	0.37253	0.891113	0.644836
8101	4294967295	0.37253	0.891113	0.643216
10390	4294967295	0.37253	0.891113	0.641604
5616	4294967295	0.37253	0.891113	0.64
7660	4294967295	0.37253	0.891113	0.638404
7009	4294967295	0.37253	0.891113	0.636816
10804	4294967295	0.37253	0.891113	0.635236
7350	4294967295	0.37253	0.891113	0.633663
6517	4294967295	0.37253	0.891113	0.632099
7429	4294967295	0.37253	0.891113	0.630542
11114	4294967295	0.37253	0.891113	0.628993
6159	4294967295	0.37253	0.891113	0.627451
16394	4294967295	0.37253	0.891113	0.625917
12323	4294967295	0.37253	0.891113	0.62439
10004	4294967295	0.37253	0.891113	0.622871
13129	4294967295	0.37253	0.891113	0.621359
13839	4294967295	0.37253	0.891113	0.619855
9656	4294967295	0.37253	0.891113	0.618357
8005	4294967295	0.37253	0.891113	0.616867
5566	4294967295	0.37253	0.891113	0.615385
12041	4294967295	0.37253	0.891113	0.613909
14122	4294967295	0.37253	0.891113	0.61244
17103	4294967295	0.37253	0.891113	0.610979
5913	4294967295	0.37253	0.891113	0.609524
12413	4294967295	0.37253	0.891113	0.608076
5852	4294967295	0.37253	0.891113	0.606635
4753	4294967295	0.37253	0.891113	0.605201
12980	4294967295	0.37253	0.891113	0.603774
5745	4294967295	0.37253	0.891113	0.602353
6655	4294967295	0.37253	0.891113	0.600939
7809	4294967295	0.37253	0.891113	0.599532
11122	4294967295	0.37253	0.891113	0.598131
8335	4294967295	0.37253	0.891113	0.596737
14932	4294967295	0.37253	0.891113	0.595349
5891	4294967295	0.37253	0.891113	0.593968
11946	4294967295	0.37253	0.891113	0.592593
24661	4294967295	0.37253	0.891113	0.591224
10048	4294967295	0.37253	0.891113	0.589862
9808	4294967295	0.37253	0.891113	0.588506
8067	4294967295	0.37253	0.891113	0.587156
9481	4294967295	0.37253	0.891113	0.585812
11593	4294967295	0.37253	0.891113	0.584475
12769	4294967295	0.37253	0.891113	0.583144
7875	4294967295	0.37253	0.891113	0.581818
26855	4294967295	0.37253	0.891113	0.580499
17604	4294967295	0.37253	0.891113	0.579186
7222	4294967295	0.37253	0.891113	0.577878
6974	4294967295	0.37253	0.891113	0.576577
9020	4294967295	0.37253	0.891113	0.575281
538186	4294967295	0.37253	0.891113	0.573991
8246	4294967295	0.37253	0.891113	0.572707
10373	4294967295	0.37253	0.891113	0.571429
11739	4294967295	0.37253	0.891113	0.570156
6653	4294967295	0.37253	0.891113	0.568889
12617	4294967295	0.37253	0.891113	0.567627
5867	4294967295	0.37253	0.891113	0.566372
9431	4294967295	0.37253	0.891113	0.565121
7724	4294967295	0.37253	0.891113	0.563877
15368	4294967295	0.37253	0.891113	0.562637
6947	4294967295	0.37253	0.891113	0.561404
11269	4294967295	0.37253	0.891113	0.560175
14716	4294967295	0.37253	0.891113	0.558952
9777	4294967295	0.37253	0.891113	0.557734
8104	4294967295	0.37253	0.891113	0.556522
4732	4294967295	0.37253	0.891113	0.555315
8951	4294967295	0.37253	0.891113	0.554113
7336	4294967295	0.37253	0.891113	0.552916
30500	4294967295	0.37253	0.891113	0.551724
13428	4294967295	0.37253	0.891113	0.550538
17668	4294967295	0.37253	0.891113	0.549356
7982	4294967295	0.37253	0.891113	0.54818
6703	4294967295	0.37253	0.891113	0.547009
3280	4294967295	0.37253	0.891113	0.545842
4646	4294967295	0.37253	0.891113	0.544681
16128	4294967295	0.37253	0.891113	0.543524
10615	4294967295	0.37253	0.891113	0.542373
23411	4294967295	0.37253	0.891113	0.541226
10447	4294967295	0.37253	0.891113	0.540084
15832	4294967295	0.37253	0.891113	0.538947
9143	4294967295	0.37253	0.891113	0.537815
7493	4294967295	0.37253	0.891113	0.536688
10829	4294967295	0.37253	0.891113	0.535565
19350	4294967295	0.37253	0.891113	0.534447
6066	4294967295	0.37253	0.891113	0.533333
16059	4294967295	0.37253	0.891113	0.532225
5697	4294967295	0.37253	0.891113	0.53112
11149	4294967295	0.37253	0.891113	0.530021
13315	4294967295	0.37253	0.891113	0.528926
12719	4294967295	0.37253	0.891113	0.527835
8674	4294967295	0.37253	0.891113	0.526749
14328	4294967295	0.37253	0.891113	0.525667
7641	4294967295	0.37253	0.891113	0.52459
3696	4294967295	0.37253	0.891113	0.523517
533462	4294967295	0.37253	0.891113	0.522449
8706	4294967295	0.37253	0.891113	0.521385
16683	4294967295	0.37253	0.891113	0.520325
19898	4294967295	0.37253	0.891113	0.51927
