hit_rate_ini:	0.244347	miss_ratio_ini:	0.171082
495	50620	0.599944	0.156494	1
424	47980	0.600105	0.156433	1
456	53988	0.600255	0.156372	1
346	24083	0.600451	0.156311	1
506	81396	0.600586	0.15625	1
453	76251	0.600737	0.156189	1
492	48416	0.600876	0.156128	1
509	532486	0.601011	0.156067	1
7670	11371	0.601014	0.156067	1
5050	863933	0.601028	0.156006	1
11813	41341	0.601033	0.155945	1
5146	377604	0.601046	0.155884	1
9083	97213	0.601053	0.155823	1
8724	122104	0.601061	0.155762	1
13488	19845	0.601062	0.155701	1
8778	273807	0.60107	0.15564	1
18280	67038	0.601073	0.15564	1
11826	289243	0.601079	0.155579	1
11388	70235	0.601084	0.155518	1
7601	20680	0.60109	0.155457	1
11129	79916	0.601096	0.155396	1
6710	122701	0.601106	0.155334	1
19617	20645	0.601106	0.155334	1
20479	34927	0.601107	0.155334	1
6423	30834	0.601116	0.155273	1
11532	653348	0.601122	0.155212	1
6777	15852	0.601128	0.155212	1
7183	530750	0.601138	0.155151	1
8779	37982	0.601144	0.15509	1
9995	17714	0.601147	0.155029	1
9397	16001	0.60115	0.155029	1
10669	14566	0.601152	0.155029	1
9006	534523	0.60116	0.154968	1
8420	11418	0.601162	0.154968	1
9973	8973	0.601161	0.154968	1
13057	21265	0.601163	0.154907	1
10034	18308	0.601166	0.154846	1
15772	5890	0.601159	0.154846	1
14693	573389	0.601163	0.154785	1
14478	18572	0.601165	0.154724	1
11753	13419	0.601165	0.154724	1
16244	22085	0.601166	0.154663	1
12095	369251	0.601172	0.154602	1
9459	12851	0.601174	0.154602	1
14184	14110	0.601174	0.154602	1
13978	23314	0.601176	0.154541	1
14109	24516	0.601178	0.15448	1
12597	6661	0.601173	0.15448	1
9388	30549	0.601178	0.154419	1
7191	62899	0.601187	0.154358	1
15653	49440	0.60119	0.154297	1
14359	544348	0.601195	0.154236	1
12628	19128	0.601197	0.154175	1
13499	15453	0.601198	0.154175	1
9738	31199	0.601203	0.154114	1
13429	35934	0.601206	0.154053	1
7570	9512	0.601208	0.154053	1
9264	23442	0.601213	0.153992	1
14720	13109	0.601212	0.153992	1
12389	67269	0.601217	0.153931	1
11651	11740	0.601217	0.153931	1
8274	12381	0.60122	0.153931	1
10749	8385	0.601218	0.153931	1
12520	24402	0.60122	0.15387	1
12394	91325	0.601225	0.153809	1
22816	28752	0.601226	0.153809	1
7746	17968	0.601231	0.153748	1
17127	11395	0.601229	0.153809	1
17413	73099	0.601232	0.153809	1
12630	20030	0.601234	0.153748	1
24661	67211	0.601236	0.153748	1
10760	75632	0.601242	0.153687	1
11712	13569	0.601243	0.153687	1
13434	27262	0.601245	0.153625	1
16736	90887	0.601249	0.153625	1
7632	16138	0.601254	0.153625	1
20777	23355	0.601254	0.153625	1
8293	16660	0.601258	0.153564	1
11946	35749	0.601262	0.153503	1
11950	75303	0.601267	0.153442	1
14559	69338	0.601271	0.153381	1
13873	18109	0.601272	0.15332	1
19429	28682	0.601274	0.15332	1
8597	101901	0.601281	0.153259	1
18999	30177	0.601282	0.153259	1
10785	105368	0.601288	0.153198	1
16327	77624	0.601292	0.153137	1
7639	22865	0.601298	0.153076	1
10743	16094	0.6013	0.153076	1
16200	15875	0.6013	0.153076	1
22753	10019	0.601296	0.153137	1
9486	28654	0.601301	0.153076	1
10048	13606	0.601303	0.153076	1
13792	17185	0.601304	0.153015	1
12503	17393	0.601306	0.152954	1
17103	69223	0.601309	0.152954	1
16774	28303	0.60131	0.152954	1
9739	14562	0.601313	0.152954	1
25712	28980	0.601313	0.152954	1
13777	21601	0.601315	0.152893	1
16496	84580	0.601319	0.152893	1
10218	16121	0.601321	0.152893	1
10314	18054	0.601324	0.152832	1
16084	8927	0.60132	0.152832	1
13400	63974	0.601325	0.152771	1
12523	9932	0.601323	0.152771	1
15005	11079	0.601322	0.152771	1
24351	68592	0.601323	0.152771	1
8783	54161	0.60133	0.15271	1
7994	66082	0.601338	0.152649	1
16413	18792	0.601339	0.152649	1
12952	30486	0.601342	0.152588	1
11582	6875	0.601338	0.152588	1
10358	6875	0.601334	0.152588	1
9614	6875	0.601331	0.152588	1
12735	6875	0.601326	0.152588	1
9195	6875	0.601324	0.152588	1
7068	6875	0.601324	0.152588	1
11621	6875	0.601319	0.152588	1
22199	6875	0.601312	0.152649	1
10356	6875	0.601309	0.152649	1
10634	6875	0.601305	0.152649	1
10872	6875	0.601301	0.152649	1
13680	6875	0.601296	0.152649	1
15091	97036	0.6013	0.152588	1
16857	77704	0.601304	0.152588	1
12642	81393	0.601308	0.152527	1
11841	28522	0.601312	0.152466	1
11043	579602	0.601318	0.152405	1
8735	54830	0.601325	0.152344	1
36686	18435	0.601323	0.152344	1
