hit_rate_ini:	0.0278729	miss_ratio_ini:	1
3122	46161	0.355661	0.980591	1
6604	37822	0.35567	0.98053	1
4298	36557	0.355685	0.980469	1
4304	40830	0.355699	0.980408	1
8089	50712	0.355707	0.980347	1
5918	36978	0.355717	0.980286	1
7813	39532	0.355724	0.980225	1
4369	53657	0.355739	0.980164	1
6199	34323	0.355748	0.980103	1
9577	65631	0.355754	0.980042	1
4167	43144	0.35577	0.97998	1
5026	34277	0.355782	0.979919	1
7225	52953	0.35579	0.979858	1
8651	48585	0.355797	0.979797	1
5189	42594	0.355809	0.979736	1
5690	35731	0.355819	0.979675	1
3988	44240	0.355835	0.979614	1
9322	50792	0.355841	0.979553	1
5513	50317	0.355853	0.979492	1
7473	37516	0.35586	0.979431	1
6132	45766	0.35587	0.97937	1
6786	38745	0.355879	0.979309	1
7298	38061	0.355887	0.979248	1
6548	41036	0.355896	0.979187	1
9077	39517	0.355902	0.979126	1
11141	40495	0.355907	0.979065	1
9898	57741	0.355912	0.979004	1
10925	43082	0.355917	0.978943	1
6829	41839	0.355926	0.978882	1
9457	41307	0.355932	0.978821	1
4746	53554	0.355945	0.97876	1
6021	51237	0.355956	0.978699	1
13734	59562	0.35596	0.978638	1
8907	40345	0.355966	0.978577	1
7885	44170	0.355973	0.978516	1
8025	39870	0.35598	0.978455	1
7377	59916	0.355989	0.978394	1
6240	57599	0.355999	0.978333	1
5041	40692	0.356011	0.978271	1
5269	79656	0.356024	0.97821	1
8250	44032	0.356031	0.978149	1
7364	48583	0.356039	0.978088	1
7666	41719	0.356046	0.978027	1
6344	41051	0.356056	0.977966	1
5538	37150	0.356066	0.977905	1
6825	45444	0.356075	0.977844	1
9459	75631	0.356082	0.977783	1
3631	46838	0.3561	0.977722	1
12940	54535	0.356104	0.977661	1
5830	51254	0.356115	0.9776	1
7269	55786	0.356123	0.977539	1
5734	49237	0.356134	0.977478	1
7593	46150	0.356142	0.977417	1
12086	65459	0.356147	0.977356	1
6044	50758	0.356157	0.977295	1
6312	45551	0.356167	0.977234	1
6928	587053	0.356177	0.977173	1
9958	87580	0.356183	0.977112	1
9012	49759	0.356189	0.977051	1
10994	58353	0.356195	0.97699	1
6984	58353	0.356204	0.976929	1
9773	58353	0.35621	0.976868	1
8299	58353	0.356217	0.976807	1
7616	58353	0.356225	0.976746	1
6976	58353	0.356234	0.976685	1
13680	58353	0.356238	0.976624	1
7091	58353	0.356247	0.976562	1
9484	53099	0.356253	0.976501	1
5841	103476	0.356264	0.97644	1
4043	47235	0.35628	0.976379	1
7190	45271	0.356288	0.976318	1
14359	33947	0.356291	0.976257	1
8114	39213	0.356298	0.976196	1
8002	37749	0.356305	0.976135	1
5852	46033	0.356316	0.976074	1
5721	37531	0.356326	0.976013	1
8944	35536	0.356332	0.975952	1
19429	47623	0.356334	0.975952	1
14941	37038	0.356337	0.975891	1
13517	44144	0.356341	0.97583	1
9066	40123	0.356347	0.975769	1
7357	33105	0.356354	0.975708	1
24040	48558	0.356356	0.975708	1
6377	36415	0.356365	0.975647	1
19070	45648	0.356367	0.975647	1
6202	53543	0.356377	0.975586	1
6068	108791	0.356388	0.975525	1
6483	43531	0.356397	0.975464	1
6547	60679	0.356407	0.975403	1
14845	34201	0.35641	0.975342	1
17374	35126	0.356412	0.975342	1
8326	43135	0.356419	0.975281	1
12148	40156	0.356423	0.97522	1
14998	36410	0.356426	0.975159	1
16190	34720	0.356428	0.975098	1
8728	62403	0.356435	0.975037	1
13316	44161	0.356439	0.974976	1
22930	35298	0.35644	0.974976	1
630160	47258	0.356438	0.974976	1
8180	966544	0.356447	0.974915	1
5273	35243	0.356458	0.974854	1
12255	338176	0.356464	0.974792	1
14552	46688	0.356467	0.974731	1
13975	38728	0.356471	0.97467	1
20590	34137	0.356472	0.97467	1
9324	33774	0.356477	0.974609	1
8718	48820	0.356484	0.974548	1
8046	32904	0.356491	0.974487	1
10245	35826	0.356496	0.974426	1
10523	46913	0.356501	0.974365	1
6568	41290	0.35651	0.974304	1
7381	54820	0.356518	0.974243	1
7936	33800	0.356525	0.974182	1
8214	44010	0.356532	0.974121	1
6900	35897	0.35654	0.97406	1
11271	56236	0.356545	0.973999	1
16397	50329	0.356548	0.973999	1
4539	62194	0.356563	0.973938	1
17221	56355	0.356566	0.973938	1
105946	35878	0.356564	0.973938	1
10379	40012	0.356569	0.973877	1
7277	41143	0.356577	0.973816	1
18205	39040	0.356579	0.973816	1
8666	50687	0.356586	0.973755	1
6690	55391	0.356596	0.973694	1
7323	105669	0.356605	0.973633	1
7553	52359	0.356613	0.973572	1
9376	37901	0.356618	0.973511	1
13065	50518	0.356622	0.97345	1
13431	33904	0.356625	0.973389	1
32013	35883	0.356626	0.973389	1
21299	41170	0.356627	0.973389	1
5707	40817	0.356638	0.973328	1
14878	35284	0.356641	0.973267	1
17214	38702	0.356643	0.973267	1
18643	38769	0.356645	0.973267	1
12658	35858	0.356649	0.973206	1
16291	36312	0.356651	0.973145	1
87106	121970	0.356651	0.973145	1
89942	45920	0.356651	0.973145	1
101389	35368	0.356649	0.973145	1
28033	42030	0.35665	0.973145	1
554686	35147	0.356648	0.973145	1
25966	35702	0.356649	0.973145	1
16850	38047	0.356651	0.973145	1
18255	46677	0.356654	0.973145	1
14868	43601	0.356657	0.973083	1
31347	43034	0.356657	0.973083	1
16469	43642	0.35666	0.973083	1
17636	38748	0.356662	0.973083	1
12361	37799	0.356666	0.973022	1
21757	56757	0.356668	0.973022	1
6024	38961	0.356678	0.972961	1
21820	56169	0.35668	0.972961	1
13699	41885	0.356684	0.9729	1
11166	44135	0.356688	0.972839	1
9800	38900	0.356694	0.972778	1
13106	37992	0.356697	0.972717	1
94538	39076	0.356696	0.972717	1
12368	39722	0.3567	0.972656	1
538186	43884	0.356699	0.972656	1
12647	45287	0.356703	0.972595	1
15132	42313	0.356706	0.972534	1
18226	48337	0.356708	0.972534	1
10803	40435	0.356713	0.972473	1
9558	43015	0.356719	0.972412	1
7367	42320	0.356727	0.972351	1
14268	49165	0.35673	0.97229	1
94601	42616	0.356729	0.97229	1
77693	38089	0.356728	0.97229	1
13831	42395	0.356732	0.972229	1
12372	49731	0.356736	0.972168	1
71677	50892	0.356736	0.972168	1
10847	39570	0.35674	0.972107	1
11981	51395	0.356745	0.972046	1
8900	39362	0.356751	0.971985	1
10078	46735	0.356757	0.971924	1
12722	45376	0.356761	0.971863	1
18909	44616	0.356763	0.971863	1
8759	68017	0.35677	0.971802	1
71272	40271	0.356769	0.971802	1
17006	97094	0.356773	0.971802	1
10622	45810	0.356778	0.971741	1
9600	50211	0.356784	0.97168	1
558420	43120	0.356782	0.97168	1
10094	38772	0.356787	0.971619	1
6085	49279	0.356797	0.971558	1
11897	58353	0.356802	0.971497	1
24317	58353	0.356804	0.971497	1
15384	58353	0.356807	0.971436	1
6648	58353	0.356817	0.971375	1
10546	58353	0.356822	0.971313	1
9784	58353	0.356828	0.971252	1
13804	58353	0.356832	0.971191	1
554918	58353	0.356831	0.971191	1
21942	41122	0.356833	0.971191	1
14600	51149	0.356836	0.97113	1
13294	36456	0.35684	0.971069	1
6765	39063	0.356848	0.971008	1
9207	34174	0.356854	0.970947	1
17921	39943	0.356856	0.970947	1
86292	42275	0.356855	0.970947	1
85521	83489	0.356855	0.970947	1
30887	46697	0.356856	0.970947	1
22600	36026	0.356857	0.970947	1
12437	37940	0.356861	0.970886	1
9538	36639	0.356866	0.970825	1
10819	729720	0.356873	0.970764	1
75098	44074	0.356872	0.970764	1
17190	34759	0.356874	0.970764	1
41784	59938	0.356875	0.970764	1
19327	35896	0.356877	0.970764	1
7185	47027	0.356885	0.970703	1
17589	38326	0.356887	0.970703	1
10021	36429	0.356892	0.970642	1
15113	33178	0.356895	0.970581	1
95734	42593	0.356894	0.970581	1
31473	39981	0.356894	0.970581	1
525438	46042	0.356893	0.970581	1
100090	46158	0.356892	0.970581	1
13098	46862	0.356896	0.97052	1
87442	37957	0.356895	0.97052	1
16670	33533	0.356897	0.97052	1
20550	40532	0.356899	0.97052	1
11456	49459	0.356904	0.970459	1
7927	57232	0.356911	0.970398	1
13702	43519	0.356915	0.970337	1
85266	618976	0.356915	0.970337	1
26436	78239	0.356917	0.970337	1
16583	51335	0.35692	0.970337	1
67	101874	0.357916	0.970276	1
60	45140	0.359024	0.970215	1
86	99459	0.359804	0.970154	1
91	62203	0.360542	0.970093	1
84	40431	0.361339	0.970032	1
111	61665	0.361946	0.969971	1
107	37242	0.362575	0.96991	1
132	38661	0.363086	0.969849	1
117	40956	0.363662	0.969788	1
188	55404	0.364023	0.969727	1
156	43946	0.364456	0.969666	1
164	35735	0.364869	0.969604	1
225	34170	0.36517	0.969543	1
217	37072	0.365482	0.969482	1
250	42858	0.365754	0.969421	1
226	51937	0.366055	0.96936	1
247	35787	0.36633	0.969299	1
339	34447	0.36653	0.969238	1
366	42315	0.366716	0.969177	1
394	41415	0.366889	0.969116	1
328	43875	0.367097	0.969055	1
348	44873	0.367293	0.968994	1
433	49148	0.36745	0.968933	1
530	37336	0.367579	0.968872	1
424	41346	0.367739	0.968811	1
456	48129	0.367889	0.96875	1
501	52875	0.368025	0.968689	1
703	33751	0.368122	0.968628	1
516	37642	0.368254	0.968567	1
636	38803	0.368361	0.968506	1
451	47488	0.368512	0.968445	1
430	34964	0.36867	0.968384	1
535	40032	0.368797	0.968323	1
630	42120	0.368905	0.968262	1
590	51730	0.369021	0.968201	1
613	36046	0.369132	0.96814	1
700	40376	0.369229	0.968079	1
586	47443	0.369345	0.968018	1
669	34613	0.369447	0.967957	1
810	38677	0.369531	0.967896	1
647	39907	0.369636	0.967834	1
992	35746	0.369704	0.967773	1
876	36027	0.369781	0.967712	1
1113	39643	0.369842	0.967651	1
729	56590	0.369936	0.96759	1
622	37028	0.370045	0.967529	1
750	54881	0.370136	0.967468	1
791	39791	0.370222	0.967407	1
915	43011	0.370296	0.967346	1
826	73763	0.370379	0.967285	1
853	36540	0.370459	0.967224	1
936	47580	0.370531	0.967163	1
1087	51926	0.370594	0.967102	1
977	39760	0.370663	0.967041	1
967	41158	0.370734	0.96698	1
1163	39254	0.370792	0.966919	1
927	51437	0.370865	0.966858	1
1150	43669	0.370924	0.966797	1
1376	165824	0.370974	0.966736	1
875	41397	0.371052	0.966675	1
1032	42820	0.371118	0.966614	1
1409	45157	0.371166	0.966553	1
1053	50412	0.37123	0.966492	1
902	40946	0.371306	0.966431	1
1807	43727	0.371343	0.96637	1
1424	50517	0.37139	0.966309	1
1170	49661	0.371448	0.966248	1
905	44130	0.371523	0.966187	1
1468	53114	0.37157	0.966125	1
1252	47727	0.371624	0.966064	1
1279	89324	0.371677	0.966003	1
1766	60667	0.371716	0.965942	1
1765	43131	0.371754	0.965881	1
1470	54117	0.3718	0.96582	1
1613	46290	0.371842	0.965759	1
1338	42731	0.371892	0.965698	1
2527	53845	0.371919	0.965637	1
1476	565044	0.371966	0.965576	1
2086	50308	0.371998	0.965515	1
1671	272200	0.37204	0.965454	1
1715	44232	0.372079	0.965393	1
1580	45208	0.372121	0.965332	1
1511	56205	0.372166	0.965271	1
1461	48469	0.372213	0.96521	1
2230	75170	0.372243	0.965149	1
1645	58353	0.372284	0.965088	1
1531	58353	0.372329	0.965027	1
1774	58353	0.372367	0.964966	1
1851	58353	0.372404	0.964905	1
2013	58353	0.372437	0.964844	1
1887	58353	0.372473	0.964783	1
1533	58353	0.372517	0.964722	1
1729	58353	0.372557	0.964661	1
1757	107408	0.372596	0.9646	1
1690	57528	0.372636	0.964539	1
1816	38093	0.372673	0.964478	1
1368	49741	0.372722	0.964417	1
1717	38641	0.372761	0.964355	1
1639	41040	0.372802	0.964294	1
3132	34022	0.372822	0.964233	1
2851	33340	0.372845	0.964172	1
1801	52944	0.372882	0.964111	1
1822	33864	0.372919	0.96405	1
2402	205524	0.372947	0.963989	1
2401	35691	0.372975	0.963928	1
2400	45104	0.373002	0.963867	1
2376	36471	0.37303	0.963806	1
2435	33579	0.373056	0.963745	1
2141	60006	0.373088	0.963684	1
3229	44558	0.373108	0.963623	1
2634	40723	0.373133	0.963562	1
1947	39898	0.373167	0.963501	1
2533	44770	0.373193	0.96344	1
1560	45490	0.373237	0.963379	1
2508	35805	0.373263	0.963318	1
1749	40319	0.373301	0.963257	1
2225	39423	0.37333	0.963196	1
1852	47336	0.373367	0.963135	1
2742	40536	0.373391	0.963074	1
2520	40379	0.373417	0.963013	1
3199	50717	0.373437	0.962952	1
2612	882737	0.373464	0.962891	1
3895	59684	0.373481	0.96283	1
2054	37463	0.373513	0.962769	1
3360	64315	0.373533	0.962708	1
1925	37020	0.373567	0.962646	1
2907	47844	0.37359	0.962585	1
3201	33554	0.37361	0.962524	1
1968	34249	0.373643	0.962463	1
5187	37481	0.373655	0.962402	1
2750	50481	0.373679	0.962341	1
3113	34264	0.3737	0.96228	1
3370	49802	0.373719	0.962219	1
2386	55130	0.373747	0.962158	1
3151	36376	0.373768	0.962097	1
4058	38928	0.373783	0.962036	1
2776	41940	0.373807	0.961975	1
2434	35013	0.373834	0.961914	1
2644	36219	0.373858	0.961853	1
3916	38417	0.373874	0.961792	1
2152	264074	0.373907	0.961731	1
3333	37820	0.373926	0.96167	1
2350	36715	0.373954	0.961609	1
3399	89362	0.373974	0.961548	1
3626	39378	0.373991	0.961487	1
