hit_rate_ini:	0.145889	miss_ratio_ini:	0.288391
66443	25207	0.468619	0.268066	1
35663	15222	0.468616	0.268127	1
14379	24633	0.468618	0.268066	1
11001	59296	0.468624	0.268005	1
24639	20630	0.468623	0.268005	1
13391	68747	0.468627	0.267944	1
14117	15853	0.468628	0.267944	1
17085	12485	0.468626	0.268005	1
19015	32895	0.468628	0.268005	1
7899	17978	0.468633	0.267944	1
83704	22891	0.468631	0.267944	1
21235	9184	0.468626	0.268005	1
19217	21337	0.468627	0.268005	1
22697	20001	0.468626	0.268005	1
103196	12888	0.468621	0.268066	1
21316	17069	0.468621	0.268066	1
18876	9740	0.468617	0.268127	1
537050	20484	0.468614	0.268127	1
13355	14567	0.468614	0.268127	1
16445	76211	0.468618	0.268127	1
47820	8924	0.468611	0.268188	1
14381	72709	0.468615	0.268127	1
15563	17053	0.468615	0.268066	1
12402	9924	0.468614	0.268066	1
28176	27120	0.468614	0.268066	1
77680	9692	0.468608	0.268127	1
19038	24433	0.468608	0.268127	1
121832	12174	0.468603	0.268188	1
32091	9534	0.468598	0.26825	1
16871	9124	0.468594	0.268311	1
12316	32028	0.468598	0.26825	1
69953	9615	0.468592	0.268311	1
19518	6841	0.468585	0.268372	1
9289	19978	0.468589	0.268311	1
102955	18459	0.468586	0.268311	1
67225	8576	0.468579	0.268372	1
21097	43692	0.46858	0.268372	1
16422	9339	0.468577	0.268433	1
18610	9220	0.468573	0.268494	1
282206	4806	0.468559	0.268555	1
38823	43419	0.468559	0.268555	1
49070	72589	0.468559	0.268555	1
18825	6024	0.468551	0.268616	1
14044	276610	0.468556	0.268555	1
16263	616844	0.46856	0.268494	1
28302	8999	0.468555	0.268555	1
15284	38734	0.468558	0.268494	1
70857	69266	0.468558	0.268494	1
11801	22825	0.468561	0.268433	1
17443	9862	0.468558	0.268494	1
30280	17973	0.468556	0.268494	1
106593	24521	0.468554	0.268494	1
938718	14748	0.468549	0.268555	1
17230	14876	0.468548	0.268616	1
345077	13468	0.468543	0.268677	1
24956	18841	0.468542	0.268677	1
121012	72838	0.468542	0.268677	1
96591	15721	0.468538	0.268738	1
50	57867	0.469862	0.268677	1
49	8184	0.471205	0.268677	1
65	13789	0.472226	0.268677	1
67	46712	0.473221	0.268616	1
60	16692	0.474326	0.268555	1
71	25767	0.475265	0.268494	1
135	20914	0.475764	0.268433	1
114	89791	0.476355	0.268372	1
133	27178	0.476862	0.268311	1
129	51118	0.477385	0.26825	1
177	41652	0.477768	0.268188	1
241	9413	0.478044	0.268188	1
154	25797	0.478482	0.268127	1
205	33839	0.478812	0.268066	1
216	32455	0.479126	0.268005	1
232	19093	0.479417	0.267944	1
