hit_rate_ini:	0.0441542	miss_ratio_ini:	1
321	237045	0.446998	0.992279	1
275	52643	0.447246	0.992249	1
169	86216	0.447648	0.992218	1
1023	64435	0.447714	0.992188	1
289	55152	0.44795	0.992157	1
521	54657	0.448081	0.992126	1
384	276189	0.44826	0.992096	1
273	261465	0.448511	0.992065	1
139	165159	0.448998	0.992035	1
257	64353	0.449263	0.992004	1
191	44553	0.449618	0.991974	1
399	99204	0.44979	0.991943	1
331	56819	0.449996	0.991913	1
356	45341	0.450187	0.991882	1
290	74513	0.450423	0.991852	1
592	41031	0.450538	0.991821	1
294	45554	0.450769	0.991791	1
317	70818	0.450984	0.99176	1
366	222791	0.451172	0.99173	1
140	76106	0.451655	0.991699	1
210	181220	0.45198	0.991669	1
371	170351	0.452164	0.991638	1
212	77686	0.452485	0.991608	1
1762	85963	0.452524	0.991577	1
291	63426	0.452759	0.991547	1
258	45659	0.453022	0.991516	1
263	55670	0.453281	0.991486	1
240	75237	0.453565	0.991455	1
220	58689	0.453874	0.991425	1
338	58023	0.454076	0.991394	1
231	44690	0.45437	0.991364	1
209	44302	0.454695	0.991333	1
233	183163	0.454987	0.991302	1
536	80202	0.455115	0.991272	1
380	50497	0.455295	0.991241	1
428	139196	0.455455	0.991211	1
659	57916	0.455559	0.99118	1
224	129374	0.455863	0.99115	1
340	53725	0.456064	0.991119	1
250	134704	0.456337	0.991089	1
251	74511	0.456608	0.991058	1
185	97711	0.456976	0.991028	1
188	187075	0.457338	0.990997	1
488	88672	0.457478	0.990967	1
582	54286	0.457596	0.990936	1
171	73411	0.457992	0.990906	1
426	94411	0.458153	0.990875	1
359	51291	0.458343	0.990845	1
568	63669	0.458464	0.990814	1
546	63512	0.458589	0.990784	1
386	580236	0.458767	0.990753	1
226	914169	0.459069	0.990723	1
295	95530	0.459301	0.990692	1
342	261543	0.459501	0.990662	1
435	206556	0.459659	0.990631	1
367	64054	0.459845	0.990601	1
232	41540	0.460138	0.99057	1
508	141345	0.460274	0.99054	1
278	68447	0.460519	0.990509	1
236	58856	0.460807	0.990479	1
398	105698	0.460979	0.990448	1
491	88995	0.461119	0.990417	1
264	55270	0.461377	0.990387	1
218	46307	0.461688	0.990356	1
335	49811	0.461892	0.990326	1
404	109558	0.462062	0.990295	1
934	52205	0.462135	0.990265	1
520	70505	0.462266	0.990234	1
316	52508	0.462482	0.990204	1
731	57975	0.462576	0.990173	1
432	85154	0.462734	0.990143	1
549	43436	0.462858	0.990112	1
781	87220	0.462946	0.990082	1
510	56315	0.46308	0.990051	1
305	50253	0.463304	0.990021	1
512	274819	0.463438	0.98999	1
492	56619	0.463577	0.98996	1
288	322209	0.463815	0.989929	1
315	153803	0.464032	0.989899	1
547	46718	0.464157	0.989868	1
387	167719	0.464334	0.989838	1
298	128214	0.464564	0.989807	1
230	455710	0.464861	0.989777	1
254	67461	0.465129	0.989746	1
349	66677	0.465324	0.989716	1
144	56871	0.465794	0.989685	1
214	314388	0.466113	0.989655	1
284	54875	0.466353	0.989624	1
561	195963	0.466475	0.989594	1
768	67914	0.466565	0.989563	1
310	43857	0.466784	0.989532	1
753	75363	0.466875	0.989502	1
457	71063	0.467025	0.989471	1
526	53464	0.467155	0.989441	1
389	183947	0.467331	0.98941	1
712	144637	0.467428	0.98938	1
115	55109	0.468014	0.989349	1
300	54741	0.468242	0.989319	1
186	219778	0.468607	0.989288	1
394	83130	0.468781	0.989258	1
374	75303	0.468964	0.989227	1
282	81380	0.469206	0.989197	1
467	83277	0.469353	0.989166	1
330	63340	0.46956	0.989136	1
401	114667	0.46973	0.989105	1
819	67604	0.469814	0.989075	1
681	51338	0.469914	0.989044	1
429	139886	0.470074	0.989014	1
475	63675	0.470218	0.988983	1
292	48352	0.470452	0.988953	1
293	121309	0.470685	0.988922	1
571	110015	0.470805	0.988892	1
505	637717	0.470942	0.988861	1
827	62418	0.471025	0.988831	1
459	45491	0.471173	0.9888	1
324	58081	0.471384	0.98877	1
694	396564	0.471483	0.988739	1
395	64430	0.471656	0.988708	1
327	57786	0.471865	0.988678	1
1018	64819	0.471932	0.988647	1
260	53664	0.472194	0.988617	1
421	66948	0.472357	0.988586	1
560	96836	0.472479	0.988556	1
468	47159	0.472625	0.988525	1
537	109148	0.472753	0.988495	1
400	216959	0.472925	0.988464	1
286	55692	0.473163	0.988434	1
334	102762	0.473368	0.988403	1
587	77574	0.473484	0.988373	1
567	128894	0.473606	0.988342	1
614	592033	0.473718	0.988312	1
453	49255	0.473869	0.988281	1
569	578218	0.47399	0.988251	1
364	473326	0.474179	0.98822	1
574	76442	0.474298	0.98819	1
482	52456	0.47444	0.988159	1
347	57307	0.474637	0.988129	1
255	647737	0.474905	0.988098	1
256	321386	0.475172	0.988068	1
373	41529	0.475355	0.988037	1
419	140579	0.475518	0.988007	1
1639	73029	0.47556	0.987976	1
343	94294	0.475759	0.987946	1
527	270129	0.47589	0.987915	1
825	111311	0.475974	0.987885	1
434	40748	0.476131	0.987854	1
502	120155	0.476267	0.987823	1
318	53789	0.476482	0.987793	1
798	200865	0.476568	0.987762	1
590	49990	0.476684	0.987732	1
382	66288	0.476863	0.987701	1
658	54600	0.476967	0.987671	1
312	90643	0.477186	0.98764	1
308	73552	0.477408	0.98761	1
299	51033	0.477636	0.987579	1
464	60542	0.477783	0.987549	1
303	83984	0.478008	0.987518	1
281	209178	0.478252	0.987488	1
304	200863	0.478477	0.987457	1
465	58466	0.478624	0.987427	1
535	41931	0.478751	0.987396	1
352	90915	0.478946	0.987366	1
239	49367	0.47923	0.987335	1
539	55228	0.479357	0.987305	1
678	322038	0.479459	0.987274	1
406	49987	0.479627	0.987244	1
268	41106	0.479881	0.987213	1
959	59277	0.479952	0.987183	1
683	237922	0.480053	0.987152	1
477	212682	0.480197	0.987122	1
339	126881	0.480399	0.987091	1
1168	45346	0.480457	0.987061	1
755	49980	0.480548	0.98703	1
871	82521	0.480626	0.987	1
528	250471	0.480757	0.986969	1
1425	104344	0.480805	0.986938	1
208	130655	0.481133	0.986908	1
438	64666	0.481289	0.986877	1
279	45522	0.481533	0.986847	1
348	132743	0.481729	0.986816	1
326	44269	0.481938	0.986786	1
763	119632	0.482029	0.986755	1
442	61143	0.482183	0.986725	1
306	84277	0.482406	0.986694	1
516	145952	0.48254	0.986664	1
655	55801	0.482644	0.986633	1
