second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
38	2349619.00	1214210.00	147452.00	932154.00	0.00	55804.00	2146288.00	932180.00	0.00	932069.00	282015.00	0.00	31.00	0.00	14034.00	7018.00	0.00	7016.00	0.00	0.00	0.00	0.00	2132260.00	925162.00	0.00	925053.00	282014.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	52.00	1214211.00	
39	2360364.00	1220429.00	147218.00	936760.00	0.00	55957.00	2157209.00	936775.00	0.00	936703.00	283687.00	0.00	31.00	0.00	13806.00	6905.00	0.00	6901.00	0.00	0.00	0.00	0.00	2143393.00	929872.00	0.00	929803.00	283687.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	45.00	1220430.00	
40	2364408.00	1221550.00	146854.00	939710.00	0.00	56294.00	2161258.00	939716.00	0.00	939731.00	281765.00	0.00	39.00	0.00	13959.00	6979.00	0.00	6980.00	0.00	0.00	0.00	0.00	2147294.00	932739.00	0.00	932751.00	281765.00	0.00	0.00	0.00	39.00	0.00	0.00	0.00	0.00	39.00	1221553.00	
41	2366099.00	1222238.00	147105.00	940767.00	0.00	55989.00	2162765.00	940693.00	0.00	940762.00	281307.00	0.00	34.00	0.00	14025.00	7009.00	0.00	7016.00	0.00	0.00	0.00	0.00	2148773.00	933685.00	0.00	933746.00	281308.00	0.00	0.00	0.00	34.00	0.00	0.00	0.00	0.00	57.00	1222234.00	
42	2353372.00	1214002.00	147049.00	935625.00	0.00	56696.00	2149681.00	935675.00	0.00	935607.00	278332.00	0.00	32.00	0.00	13829.00	6915.00	0.00	6914.00	0.00	0.00	0.00	0.00	2135818.00	928761.00	0.00	928693.00	278332.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	55.00	1214002.00	
43	2348643.00	1211669.00	146599.00	933814.00	0.00	56561.00	2145296.00	933798.00	0.00	933574.00	277919.00	0.00	30.00	0.00	13574.00	6788.00	0.00	6786.00	0.00	0.00	0.00	0.00	2131748.00	927011.00	0.00	926788.00	277919.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	64.00	1211669.00	
44	2343719.00	1208093.00	146650.00	932105.00	0.00	56871.00	2139999.00	932075.00	0.00	932047.00	275836.00	0.00	23.00	0.00	13525.00	6764.00	0.00	6761.00	0.00	0.00	0.00	0.00	2126456.00	925311.00	0.00	925286.00	275836.00	0.00	0.00	0.00	23.00	0.00	0.00	0.00	0.00	97.00	1208098.00	
45	2324848.00	1197548.00	145841.00	923738.00	0.00	57721.00	2121222.00	923716.00	0.00	923661.00	273795.00	0.00	38.00	0.00	13233.00	6614.00	0.00	6619.00	0.00	0.00	0.00	0.00	2107979.00	917104.00	0.00	917043.00	273795.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00	0.00	81.00	1197547.00	
46	2341142.00	1206161.00	147033.00	931088.00	0.00	56860.00	2137251.00	931151.00	0.00	931147.00	274937.00	0.00	29.00	0.00	13330.00	6665.00	0.00	6665.00	0.00	0.00	0.00	0.00	2123935.00	924486.00	0.00	924483.00	274937.00	0.00	0.00	0.00	29.00	0.00	0.00	0.00	0.00	72.00	1206165.00	
47	2324589.00	1197800.00	147087.00	922662.00	0.00	57040.00	2120256.00	922648.00	0.00	922532.00	275053.00	0.00	31.00	0.00	13142.00	6570.00	0.00	6572.00	0.00	0.00	0.00	0.00	2107125.00	916078.00	0.00	915963.00	275053.00	0.00	0.00	0.00	31.00	0.00	0.00	0.00	0.00	82.00	1197802.00	
48	2320167.00	1195872.00	146005.00	921358.00	0.00	56932.00	2117199.00	921409.00	0.00	921341.00	274453.00	0.00	27.00	0.00	13080.00	6542.00	0.00	6538.00	0.00	0.00	0.00	0.00	2104151.00	914867.00	0.00	914804.00	274453.00	0.00	0.00	0.00	27.00	0.00	0.00	0.00	0.00	126.00	1195872.00	
49	2333455.00	1203392.00	144532.00	928261.00	0.00	57271.00	2131353.00	928207.00	0.00	928044.00	275065.00	0.00	40.00	0.00	13229.00	6614.00	0.00	6615.00	0.00	0.00	0.00	0.00	2118127.00	921593.00	0.00	921429.00	275065.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	96.00	1203396.00	
50	2307886.00	1188112.00	145972.00	917504.00	0.00	56298.00	2105492.00	917472.00	0.00	917687.00	270291.00	0.00	34.00	0.00	13189.00	6595.00	0.00	6594.00	0.00	0.00	0.00	0.00	2092295.00	910877.00	0.00	911093.00	270290.00	0.00	0.00	0.00	34.00	0.00	0.00	0.00	0.00	102.00	1188110.00	
51	2322919.00	1197875.00	145334.00	923064.00	0.00	56646.00	2120835.00	923089.00	0.00	922885.00	274820.00	0.00	32.00	0.00	13168.00	6583.00	0.00	6585.00	0.00	0.00	0.00	0.00	2107658.00	916506.00	0.00	916300.00	274821.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	69.00	1197877.00	
52	2316677.00	1193092.00	145958.00	919699.00	0.00	57928.00	2112602.00	919674.00	0.00	919492.00	273427.00	0.00	36.00	0.00	13650.00	6825.00	0.00	6825.00	0.00	0.00	0.00	0.00	2098979.00	912849.00	0.00	912667.00	273427.00	0.00	0.00	0.00	36.00	0.00	0.00	0.00	0.00	73.00	1193095.00	
53	2362038.00	1219159.00	145205.00	939585.00	0.00	58089.00	2158790.00	939646.00	0.00	939548.00	279588.00	0.00	30.00	0.00	13973.00	6990.00	0.00	6983.00	0.00	0.00	0.00	0.00	2144839.00	932656.00	0.00	932565.00	279588.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00	0.00	66.00	1219156.00	
54	2316190.00	1191397.00	147802.00	920204.00	0.00	56788.00	2111419.00	920207.00	0.00	920186.00	270962.00	0.00	32.00	0.00	13528.00	6761.00	0.00	6767.00	0.00	0.00	0.00	0.00	2097860.00	913447.00	0.00	913419.00	270962.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	88.00	1191404.00	
55	2311620.00	1189993.00	147035.00	917220.00	0.00	57373.00	2106956.00	917131.00	0.00	917235.00	272558.00	0.00	32.00	0.00	13793.00	6897.00	0.00	6896.00	0.00	0.00	0.00	0.00	2093163.00	910234.00	0.00	910339.00	272558.00	0.00	0.00	0.00	32.00	0.00	0.00	0.00	0.00	71.00	1189991.00	
