second	tx	tx_grant	tx_grant_re4wait	tx_release	tx_release_re4modfail	tx_release_re4wait	rx	rx_grantSucc	rx_queueSucc	rx_releaseSucc	rx_grantFail	rx_grantModFail	rx_releaseFail	rx_releaseModFail	rx_p4	rx_grantSucc_p4	rx_queueSucc_p4	rx_releaseSucc_p4	rx_grantFail_p4	rx_releaseFail_p4	rx_bdFail_p4	rx_mirror_p4	rx_fpga	rx_grantSucc_fpga	rx_queueSucc_fpga	rx_releaseSucc_fpga	rx_grantFail_fpga	rx_grantModFail_fpga	rx_grantModHitFail_fpga	rx_grantModNfsFail_fpga	rx_releaseFail_fpga	rx_releaseModFail_fpga	rx_releaseModHitFail_fpga	rx_releaseModNfsFail_fpga	dropped_pkt	txn_fail	txn_total	
153	30219568.00	16412923.00	41004.00	13765641.00	0.00	0.00	30178272.00	13765508.00	0.00	13765378.00	2647275.00	0.00	68.00	0.00	18136820.00	7744986.00	0.00	7744895.00	2646874.00	66.00	0.00	0.00	12041408.00	6020522.00	0.00	6020484.00	401.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	51.00	16412926.00	
154	30031330.00	16314991.00	37692.00	13678647.00	0.00	0.00	29994074.00	13678898.00	0.00	13678790.00	2636221.00	0.00	60.00	0.00	18453160.00	7908731.00	0.00	7908652.00	2635722.00	57.00	0.00	0.00	11540808.00	5770168.00	0.00	5770138.00	499.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	49.00	16314992.00	
155	31570100.00	17159540.00	34051.00	14376507.00	0.00	0.00	31536492.00	14376602.00	0.00	14376612.00	2783089.00	0.00	62.00	0.00	19663104.00	8440268.00	0.00	8440294.00	2782482.00	60.00	0.00	0.00	11873261.00	5936334.00	0.00	5936318.00	607.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	50.00	17159542.00	
156	31734676.00	17254822.00	31862.00	14447993.00	0.00	0.00	31702196.00	14447714.00	0.00	14447639.00	2806714.00	0.00	47.00	0.00	19892348.00	8543335.00	0.00	8543274.00	2805696.00	42.00	0.00	0.00	11809768.00	5904380.00	0.00	5904365.00	1018.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	31.00	17254824.00	
157	31661544.00	17215148.00	31923.00	14414475.00	0.00	0.00	31629884.00	14414537.00	0.00	14414542.00	2800692.00	0.00	44.00	0.00	19907938.00	8554186.00	0.00	8554186.00	2799526.00	40.00	0.00	0.00	11721877.00	5860351.00	0.00	5860356.00	1166.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	34.00	17215150.00	
158	31683524.00	17226366.00	32140.00	14425020.00	0.00	0.00	31651548.00	14425047.00	0.00	14424972.00	2801319.00	0.00	43.00	0.00	19967356.00	8583493.00	0.00	8583474.00	2800352.00	39.00	0.00	0.00	11684026.00	5841554.00	0.00	5841502.00	967.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	31.00	17226368.00	
159	31746800.00	17260928.00	32470.00	14453405.00	0.00	0.00	31714360.00	14453392.00	0.00	14453307.00	2807482.00	0.00	59.00	0.00	20040532.00	8616898.00	0.00	8616809.00	2806770.00	56.00	0.00	0.00	11673708.00	5836494.00	0.00	5836498.00	713.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	33.00	17260926.00	
160	31666380.00	17219616.00	32943.00	14413821.00	0.00	0.00	31633702.00	14413920.00	0.00	14413885.00	2805754.00	0.00	41.00	0.00	20023408.00	8609077.00	0.00	8609085.00	2805206.00	40.00	0.00	0.00	11610190.00	5804842.00	0.00	5804799.00	548.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	34.00	17219620.00	
161	31691776.00	17233836.00	32678.00	14425261.00	0.00	0.00	31659490.00	14425406.00	0.00	14425363.00	2808605.00	0.00	29.00	0.00	20061176.00	8626541.00	0.00	8626511.00	2808097.00	27.00	0.00	0.00	11598229.00	5798866.00	0.00	5798853.00	508.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	34.00	17233840.00	
162	31724404.00	17253992.00	32645.00	14437768.00	0.00	0.00	31691440.00	14437567.00	0.00	14437538.00	2816156.00	0.00	39.00	0.00	20109004.00	8646710.00	0.00	8646714.00	2815546.00	36.00	0.00	0.00	11582294.00	5790857.00	0.00	5790824.00	610.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	32.00	17253996.00	
